Date,Origin,Destination,Departure Time,Arrival Time,Stops,Stop Airport,Duration,Company Name,Price,Seat Type
2025-04-01,ACE,TFN,2025-04-01T08:25:00,2025-04-01T09:15:00,2,TFN,PT8H10M,UX,154.71,NT
2025-04-01,TFN,MAD,2025-04-01T09:55:00,2025-04-01T13:40:00,2,TFN,PT8H10M,UX,154.71,UX
2025-04-01,MAD,AMS,2025-04-01T15:00:00,2025-04-01T17:35:00,2,TFN,PT8H10M,UX,154.71,UX
2025-04-01,ACE,TFN,2025-04-01T07:00:00,2025-04-01T07:50:00,2,TFN,PT9H35M,UX,154.71,NT
2025-04-01,TFN,MAD,2025-04-01T09:55:00,2025-04-01T13:40:00,2,TFN,PT9H35M,UX,154.71,UX
2025-04-01,MAD,AMS,2025-04-01T15:00:00,2025-04-01T17:35:00,2,TFN,PT9H35M,UX,154.71,UX
2025-04-01,ACE,LPA,2025-04-01T08:15:00,2025-04-01T09:00:00,2,LPA,PT8H20M,UX,155.16,NT
2025-04-01,LPA,MAD,2025-04-01T10:00:00,2025-04-01T13:45:00,2,LPA,PT8H20M,UX,155.16,UX
2025-04-01,MAD,AMS,2025-04-01T15:00:00,2025-04-01T17:35:00,2,LPA,PT8H20M,UX,155.16,UX
2025-04-01,ACE,TFN,2025-04-01T11:20:00,2025-04-01T12:10:00,2,TFN,PT10H5M,IB,178.71,NT
2025-04-01,TFN,MAD,2025-04-01T14:05:00,2025-04-01T17:50:00,2,TFN,PT10H5M,IB,178.71,IB
2025-04-01,MAD,AMS,2025-04-01T19:45:00,2025-04-01T22:25:00,2,TFN,PT10H5M,IB,178.71,IB
2025-04-01,ACE,TFN,2025-04-01T08:25:00,2025-04-01T09:15:00,2,TFN,PT13H,IB,179.16,NT
2025-04-01,TFS,MAD,2025-04-01T15:05:00,2025-04-01T18:50:00,2,TFN,PT13H,IB,179.16,IB
2025-04-01,MAD,AMS,2025-04-01T19:45:00,2025-04-01T22:25:00,2,TFN,PT13H,IB,179.16,IB
2025-04-01,ACE,MAD,2025-04-01T07:00:00,2025-04-01T10:35:00,1,MAD,PT14H25M,IB,179.17,IB
2025-04-01,MAD,AMS,2025-04-01T19:45:00,2025-04-01T22:25:00,1,MAD,PT14H25M,IB,179.17,IB
2025-04-01,ACE,MAD,2025-04-01T18:20:00,2025-04-01T21:50:00,1,MAD,PT16H10M,IB,209.17,IB
2025-04-01,MAD,AMS,2025-04-02T08:50:00,2025-04-02T11:30:00,1,MAD,PT16H10M,IB,209.17,IB
2025-04-01,ACE,TFN,2025-04-01T07:00:00,2025-04-01T07:50:00,2,TFN,PT10H30M,IB,244.71,NT
2025-04-01,TFN,MAD,2025-04-01T09:05:00,2025-04-01T12:55:00,2,TFN,PT10H30M,IB,244.71,IB
2025-04-01,MAD,AMS,2025-04-01T15:50:00,2025-04-01T18:30:00,2,TFN,PT10H30M,IB,244.71,IB
2025-04-01,ACE,MAD,2025-04-01T07:00:00,2025-04-01T10:35:00,1,MAD,PT10H30M,IB,245.17,IB
2025-04-01,MAD,AMS,2025-04-01T15:50:00,2025-04-01T18:30:00,1,MAD,PT10H30M,IB,245.17,IB
2025-04-01,ACE,CPH,2025-04-01T13:40:00,2025-04-01T19:30:00,1,CPH,PT27H15M,DY,258.65,D8
2025-04-01,CPH,AMS,2025-04-02T16:30:00,2025-04-02T17:55:00,1,CPH,PT27H15M,DY,258.65,D8
2025-04-01,ACE,TFN,2025-04-01T22:00:00,2025-04-01T22:50:00,2,TFN,PT16H20M,UX,339.71,NT
2025-04-01,TFN,MAD,2025-04-02T07:05:00,2025-04-02T10:50:00,2,TFN,PT16H20M,UX,339.71,UX
2025-04-01,MAD,AMS,2025-04-02T12:50:00,2025-04-02T15:20:00,2,TFN,PT16H20M,UX,339.71,UX
2025-04-01,ACE,DUS,2025-04-01T17:50:00,2025-04-01T23:15:00,2,DUS,PT14H10M,LH,343.13,EW
2025-04-01,DUS,FRA,2025-04-02T06:00:00,2025-04-02T06:50:00,2,DUS,PT14H10M,LH,343.13,LH
2025-04-01,FRA,AMS,2025-04-02T07:50:00,2025-04-02T09:00:00,2,DUS,PT14H10M,LH,343.13,LH
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,1,DUB,PT12H15M,EI,363.16,EI
2025-04-01,DUB,AMS,2025-04-02T06:15:00,2025-04-02T08:55:00,1,DUB,PT12H15M,EI,363.16,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,1,DUB,PT15H55M,EI,363.16,EI
2025-04-01,DUB,AMS,2025-04-02T09:55:00,2025-04-02T12:35:00,1,DUB,PT15H55M,EI,363.16,EI
2025-04-01,ACE,ORK,2025-04-01T11:15:00,2025-04-01T15:00:00,1,ORK,PT20H30M,EI,379.19,EI
2025-04-01,ORK,AMS,2025-04-02T06:00:00,2025-04-02T08:45:00,1,ORK,PT20H30M,EI,379.19,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT17H20M,EI,434.20,EI
2025-04-01,DUB,BHX,2025-04-02T06:30:00,2025-04-02T07:40:00,2,DUB,PT17H20M,EI,434.20,EI
2025-04-01,BHX,BHD,2025-04-02T11:45:00,2025-04-02T13:00:00,2,DUB,PT17H20M,EI,434.20,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT16H30M,EI,437.21,EI
2025-04-01,DUB,EDI,2025-04-02T06:40:00,2025-04-02T07:50:00,2,DUB,PT16H30M,EI,437.21,EI
2025-04-01,EDI,BHD,2025-04-02T11:10:00,2025-04-02T12:10:00,2,DUB,PT16H30M,EI,437.21,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT20H45M,EI,442.65,EI
2025-04-01,DUB,BHX,2025-04-02T06:30:00,2025-04-02T07:40:00,2,DUB,PT20H45M,EI,442.65,EI
2025-04-01,BHX,BHD,2025-04-02T15:10:00,2025-04-02T16:25:00,2,DUB,PT20H45M,EI,442.65,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT20H45M,EI,448.20,EI
2025-04-01,DUB,BHX,2025-04-02T10:30:00,2025-04-02T11:50:00,2,DUB,PT20H45M,EI,448.20,EI
2025-04-01,BHX,BHD,2025-04-02T15:10:00,2025-04-02T16:25:00,2,DUB,PT20H45M,EI,448.20,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT17H40M,EI,454.76,EI
2025-04-01,DUB,LBA,2025-04-02T06:50:00,2025-04-02T08:15:00,2,DUB,PT17H40M,EI,454.76,EI
2025-04-01,LBA,BHD,2025-04-02T12:10:00,2025-04-02T13:20:00,2,DUB,PT17H40M,EI,454.76,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT25H20M,EI,460.43,EI
2025-04-01,DUB,SOU,2025-04-02T07:20:00,2025-04-02T09:10:00,2,DUB,PT25H20M,EI,460.43,EI
2025-04-01,SOU,BHD,2025-04-02T19:25:00,2025-04-02T21:00:00,2,DUB,PT25H20M,EI,460.43,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT21H15M,EI,463.21,EI
2025-04-01,DUB,LBA,2025-04-02T06:50:00,2025-04-02T08:15:00,2,DUB,PT21H15M,EI,463.21,EI
2025-04-01,LBA,BHD,2025-04-02T15:45:00,2025-04-02T16:55:00,2,DUB,PT21H15M,EI,463.21,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT21H45M,EI,485.42,EI
2025-04-01,DUB,MAN,2025-04-02T06:30:00,2025-04-02T07:35:00,2,DUB,PT21H45M,EI,485.42,EI
2025-04-01,MAN,BHD,2025-04-02T16:15:00,2025-04-02T17:25:00,2,DUB,PT21H45M,EI,485.42,EI
2025-04-01,ACE,DUB,2025-04-01T19:40:00,2025-04-01T23:45:00,2,DUB,PT21H45M,EI,485.42,EI
2025-04-01,DUB,MAN,2025-04-02T07:45:00,2025-04-02T08:55:00,2,DUB,PT21H45M,EI,485.42,EI
2025-04-01,MAN,BHD,2025-04-02T16:15:00,2025-04-02T17:25:00,2,DUB,PT21H45M,EI,485.42,EI
